iter	RMSE
0	0.7190816376
1	0.6926247666
2	0.6665835586
3	0.641191143
4	0.6183725372
5	0.5968785447
6	0.5762699402
7	0.5571575967
8	0.5382686766
9	0.5204780225
10	0.5044151598
11	0.4887805512
12	0.4735165309
13	0.4592234971
14	0.4455159074
15	0.4333359012
16	0.4214803849
17	0.4099649808
18	0.3994031765
19	0.3892125155
20	0.3804550859
21	0.3714390513
22	0.3628368945
23	0.3553683041
24	0.3478870544
25	0.340753192
26	0.3334011511
27	0.3264971936
28	0.3199974078
29	0.3147067327
30	0.3094483094
31	0.3041939898
32	0.2993253195
33	0.294230687
34	0.2894904243
35	0.2853679913
36	0.2812855908
37	0.2775295404
38	0.2740977844
39	0.2708688124
40	0.2676211759
41	0.264879629
42	0.2619444346
43	0.2589494364
44	0.2561254711
45	0.2536120253
46	0.2512507736
47	0.2485519284
48	0.2460522973
49	0.2439127639
50	0.2418292412
51	0.2397230191
52	0.2378330908
53	0.2359954751
54	0.2344100473
55	0.2327724348
56	0.2313231765
57	0.2297630698
58	0.2282503343
59	0.2266541162
60	0.2252954479
61	0.2239845131
62	0.2225792385
63	0.2211966248
64	0.2199701517
65	0.2189719766
66	0.2178449511
67	0.21674781
68	0.215685831
69	0.2147267886
70	0.2137281307
71	0.2127470713
72	0.2118868138
73	0.2110422545
74	0.2102604802
75	0.2093113567
76	0.2084903198
77	0.2076745061
78	0.2069656657
79	0.2061736914
80	0.2051813742
81	0.2045522215
82	0.2038648356
83	0.2032149886
84	0.202592851
85	0.2021596383
86	0.2014297981
87	0.2006306341
88	0.2001352566
89	0.1996971283
90	0.1990543007
91	0.1984899939
92	0.1979426934
93	0.197475192
94	0.1968900345
95	0.1962217364
96	0.1957217679
97	0.1953391695
98	0.1947825787
99	0.1941041989
100	0.1937262528
101	0.1932951026
102	0.192888874
103	0.1922865888
104	0.1919188922
105	0.1913039127
106	0.1909082554
107	0.190436949
108	0.1900929061
109	0.1896868075
110	0.1893049926
111	0.1889583624
112	0.1886765319
113	0.1883804301
114	0.1880873677
115	0.1875825092
116	0.1872967259
117	0.1869827254
118	0.1866056144
119	0.1862445722
120	0.1858871871
121	0.1853800333
122	0.1850766727
123	0.1848474053
124	0.1845533626
125	0.1840896068
126	0.1834767401
127	0.1830376073
128	0.1827896022
129	0.1824286006
130	0.1821504974
131	0.1818598195
132	0.1815678853
133	0.18124358
134	0.1807447156
135	0.1804406215
136	0.1801056734
137	0.1797135151
138	0.1792322759
139	0.1791243548
140	0.1787941256
141	0.1784616591
142	0.1783129314
143	0.1779352647
144	0.1776413841
145	0.1773900592
146	0.1771114106
147	0.176693018
148	0.1762969157
149	0.1762102572
150	0.1759809797
151	0.175761819
152	0.1755259464
153	0.1752631387
154	0.1751122296
155	0.1748858072
156	0.1744709788
157	0.1741719889
158	0.173984834
159	0.1737750067
160	0.1735948979
161	0.173388555
162	0.1731995533
163	0.1730228476
164	0.1727610417
165	0.1725084171
166	0.1723702718
167	0.1721966843
168	0.1717193113
169	0.1714837357
170	0.1713132512
171	0.1711336195
172	0.1707506234
173	0.1705009158
174	0.1702616943
175	0.1700753169
176	0.169844838
177	0.1695406886
178	0.1692938945
179	0.1691036301
180	0.1687282967
181	0.1682820724
182	0.168121433
183	0.1678473268
184	0.1675320959
185	0.167311621
186	0.1671163298
187	0.166752046
188	0.1665084882
189	0.166482592
190	0.1662125268
191	0.1658380682
192	0.1658125666
193	0.1655900582
194	0.1653419178
195	0.1651216167
196	0.1650253157
197	0.164927369
198	0.1647409863
199	0.1647138309
200	0.16441397
201	0.1642018787
202	0.1639482549
203	0.1636671871
204	0.1636446285
205	0.1633594002
206	0.1632194874
207	0.1631931082
208	0.1629345823
209	0.16280746
210	0.1626124314
211	0.1624066041
212	0.1623857964
213	0.1621697238
214	0.1619258676
215	0.1617112037
216	0.1613631781
217	0.1610806865
218	0.1610602378
219	0.1608038549
220	0.1604886576
221	0.1602788455
222	0.1600594276
223	0.1597933965
224	0.1597702225
225	0.1595235808
226	0.1595010931
227	0.1592418527
228	0.1590220238
229	0.1588318607
230	0.1586100491
231	0.1585922479
232	0.1583735787
233	0.1582202891
234	0.1580013264
235	0.1579802471
236	0.1578105618
237	0.15776944
238	0.1574698051
239	0.1573046443
240	0.1571035606
241	0.1568115788
242	0.156566578
243	0.1564428972
244	0.1562527439
245	0.1559935791
246	0.1559776001
247	0.155710728
248	0.1555270819
249	0.1553734376
250	0.1552288489
251	0.1549821971
252	0.1549626406
253	0.1547883589
254	0.1545632689
255	0.1544143437
256	0.1543955904
257	0.1542145265
258	0.1541963115
259	0.1539825664
260	0.1538319779
261	0.1536459371
262	0.1535132532
263	0.153390136
264	0.1533618219
265	0.1532100608
266	0.1531230983
267	0.1528945015
268	0.1527242968
269	0.1525758177
270	0.1525594555
271	0.1524156888
272	0.1520941748
273	0.1519059616
274	0.1517023343
275	0.1515128578
276	0.1513171091
277	0.1512106383
278	0.151034641
279	0.1508597554
280	0.1507550362
281	0.1506293349
282	0.150525447
283	0.1502716784
284	0.1501457794
285	0.1499661975
286	0.1498116214
287	0.1496995735
288	0.1495913355
289	0.1494474314
290	0.1494339039
291	0.1492634423
292	0.1491230357
293	0.1490258835
294	0.1490114977
295	0.148784799
296	0.1487707902
297	0.1486105797
298	0.1484222395
299	0.1482697218
