iter	Passed	Remaining
0	145	43472
1	146	21895
2	148	14686
3	149	11064
4	150	8891
5	152	7465
6	153	6431
7	154	5653
8	156	5051
9	157	4568
10	158	4172
11	160	3845
12	162	3594
13	164	3357
14	167	3176
15	170	3017
16	171	2854
17	174	2727
18	175	2600
19	177	2480
20	178	2375
21	180	2277
22	181	2189
23	183	2106
24	184	2028
25	185	1955
26	186	1890
27	188	1828
28	189	1769
29	190	1714
30	191	1662
31	193	1617
32	194	1572
33	195	1530
34	196	1489
35	197	1451
36	199	1416
37	200	1383
38	201	1351
39	203	1320
40	204	1291
41	205	1263
42	206	1236
43	208	1210
44	209	1187
45	210	1164
46	212	1143
47	213	1122
48	215	1101
49	216	1081
50	217	1062
51	218	1044
52	220	1027
53	222	1011
54	223	994
55	224	979
56	226	963
57	227	948
58	228	933
59	229	919
60	231	905
61	233	894
62	234	883
63	235	870
64	237	857
65	238	845
66	239	833
67	240	821
68	242	810
69	243	799
70	244	788
71	245	778
72	246	767
73	248	757
74	249	747
75	250	738
76	251	729
77	253	722
78	255	714
79	257	707
80	258	699
81	259	690
82	261	682
83	262	675
84	263	666
85	264	659
86	266	652
87	267	645
88	269	638
89	270	631
90	271	624
91	273	617
92	274	610
93	275	603
94	276	596
95	277	590
96	278	583
97	280	577
98	281	571
99	282	565
100	283	559
101	285	553
102	286	547
103	287	541
104	288	535
105	289	529
106	290	524
107	291	519
108	293	513
109	294	508
110	295	502
111	296	497
112	297	492
113	299	487
114	300	483
115	301	478
116	302	473
117	303	468
118	304	463
119	305	458
120	306	454
121	308	449
122	309	444
123	310	440
124	311	436
125	312	431
126	313	427
127	315	423
128	316	419
129	317	415
130	318	411
131	319	407
132	321	403
133	322	399
134	323	395
135	324	391
136	325	387
137	326	383
138	327	379
139	328	375
140	329	372
141	331	368
142	332	364
143	333	361
144	334	357
145	335	354
146	336	350
147	337	347
148	339	343
149	339	339
150	340	336
151	341	332
152	343	329
153	344	326
154	345	323
155	346	320
156	347	316
157	348	313
158	350	310
159	351	307
160	352	304
161	353	301
162	354	298
163	355	294
164	356	291
165	358	289
166	359	286
167	360	283
168	361	280
169	362	277
170	363	274
171	364	271
172	365	268
173	366	265
174	367	262
175	368	259
176	370	257
177	371	254
178	372	251
179	373	249
180	374	246
181	375	243
182	377	241
183	378	238
184	379	235
185	380	233
186	381	230
187	382	228
188	383	225
189	384	222
190	385	220
191	387	217
192	388	215
193	389	212
194	390	210
195	391	207
196	393	205
197	394	203
198	395	200
199	396	198
200	397	195
201	398	193
202	399	190
203	400	188
204	401	186
205	402	183
206	403	181
207	404	179
208	405	176
209	407	174
210	408	172
211	409	169
212	412	168
213	413	166
214	414	163
215	415	161
216	417	159
217	419	157
218	420	155
219	421	153
220	423	151
221	424	149
222	425	147
223	426	144
224	427	142
225	429	140
226	430	138
227	431	136
228	433	134
229	434	132
230	436	130
231	437	128
232	439	126
233	440	124
234	442	122
235	443	120
236	444	118
237	446	116
238	447	114
239	448	112
240	450	110
241	451	108
242	452	106
243	453	104
244	455	102
245	456	100
246	458	98
247	459	96
248	461	94
249	462	92
250	464	90
251	465	88
252	466	86
253	468	84
254	469	82
255	470	80
256	472	78
257	473	77
258	474	75
259	476	73
260	477	71
261	479	69
262	480	67
263	481	65
264	482	63
265	483	61
266	485	59
267	486	58
268	488	56
269	489	54
270	490	52
271	492	50
272	493	48
273	494	46
274	495	45
275	496	43
276	498	41
277	499	39
278	500	37
279	501	35
280	502	33
281	504	32
282	505	30
283	507	28
284	509	26
285	510	24
286	512	23
287	513	21
288	515	19
289	516	17
290	517	16
291	519	14
292	520	12
293	522	10
294	523	8
295	524	7
296	526	5
297	527	3
298	528	1
299	529	0
